symbol,option_symbol,entry_time,exit_time,duration_minutes,option_type,strike,lots,units,entry_premium,exit_premium,highest_premium,exit_reason,gross_pnl,taxes_and_brokerage,net_pnl,return_pct,capital_after
NIFTY,NIFTY 25600 PE,2026-01-05T12:50:00,2026-01-05T12:55:00,5.0,PE,25600,1,65,150.23,171.55,173.16,TARGET_HIT,1385.8,73.91,1311.89,0.1419,17708.48
NIFTY,NIFTY 25900 CE,2026-01-05T14:15:00,2026-01-05T14:25:00,10.0,CE,25900,1,65,165.35,151.06,165.35,STOP_LOSS_HIT,-928.85,72.07,-1000.92,-0.0864,16707.56
NIFTY,NIFTY 25950 CE,2026-01-05T14:30:00,2026-01-05T14:35:00,5.0,CE,25950,1,65,166.45,190.08,205.86,TARGET_HIT,1535.95,76.79,1459.16,0.142,18166.72
NIFTY,NIFTY 25950 CE,2026-01-05T14:40:00,2026-01-05T14:45:00,5.0,CE,25950,1,65,184.45,168.5,184.45,STOP_LOSS_HIT,-1036.75,74.95,-1111.7,-0.0865,17055.02
NIFTY,NIFTY 25900 CE,2026-01-05T14:50:00,2026-01-05T14:55:00,5.0,CE,25900,1,65,177.69,162.33,177.69,STOP_LOSS_HIT,-998.4,73.93,-1072.33,-0.0864,15982.69
NIFTY,NIFTY 25950 CE,2026-01-05T15:00:00,2026-01-05T15:10:00,10.0,CE,25950,1,65,158.02,144.36,158.02,STOP_LOSS_HIT,-887.9,70.98,-958.88,-0.0864,15023.81
NIFTY,NIFTY 26350 CE,2026-01-06T09:20:00,2026-01-06T09:30:00,10.0,CE,26350,1,65,170.31,155.59,173.66,STOP_LOSS_HIT,-956.8,72.82,-1029.62,-0.0864,13994.19
NIFTY,NIFTY 26300 CE,2026-01-06T09:35:00,2026-01-06T09:40:00,5.0,CE,26300,1,65,169.39,193.44,199.14,TARGET_HIT,1563.25,77.33,1485.92,0.142,15480.11
NIFTY,NIFTY 26300 CE,2026-01-06T09:45:00,2026-01-06T10:00:00,15.0,CE,26300,1,65,185.89,212.27,214.57,TARGET_HIT,1714.7,80.27,1634.43,0.1419,17114.54
NIFTY,NIFTY 26350 CE,2026-01-06T10:05:00,2026-01-06T10:10:00,5.0,CE,26350,1,65,164.55,187.91,210.07,TARGET_HIT,1518.4,76.47,1441.93,0.142,18556.47
NIFTY,NIFTY 26400 CE,2026-01-06T10:15:00,2026-01-06T10:30:00,15.0,CE,26400,1,65,173.95,198.64,223.66,TARGET_HIT,1604.85,78.14,1526.71,0.1419,20083.18
NIFTY,NIFTY 26600 CE,2026-01-06T10:35:00,2026-01-06T10:40:00,5.0,CE,26600,1,65,164.7,150.46,164.7,STOP_LOSS_HIT,-925.6,71.98,-997.58,-0.0865,19085.6
NIFTY,NIFTY 26500 CE,2026-01-06T10:45:00,2026-01-06T10:50:00,5.0,CE,26500,1,65,185.47,169.44,185.47,STOP_LOSS_HIT,-1041.95,75.1,-1117.05,-0.0864,17968.55
NIFTY,NIFTY 26650 CE,2026-01-06T13:50:00,2026-01-06T14:05:00,15.0,CE,26650,1,65,166.1,151.74,169.77,STOP_LOSS_HIT,-933.4,72.18,-1005.58,-0.0865,16962.97
NIFTY,NIFTY 26600 CE,2026-01-06T14:10:00,2026-01-06T14:15:00,5.0,CE,26600,1,65,164.65,150.42,164.65,STOP_LOSS_HIT,-924.95,71.96,-996.91,-0.0864,15966.06
NIFTY,NIFTY 26600 CE,2026-01-06T14:20:00,2026-01-06T14:35:00,15.0,CE,26600,1,65,177.72,202.95,238.62,TARGET_HIT,1639.95,78.81,1561.14,0.142,17527.2
NIFTY,NIFTY 26750 CE,2026-01-06T14:40:00,2026-01-06T14:45:00,5.0,CE,26750,1,65,164.57,150.34,164.57,STOP_LOSS_HIT,-924.95,71.96,-996.91,-0.0865,16530.29
NIFTY,NIFTY 26700 CE,2026-01-06T14:50:00,2026-01-06T15:15:00,25.0,CE,26700,1,65,180.28,205.87,208.01,TARGET_HIT,1663.35,79.28,1584.07,0.1419,18114.36
NIFTY,NIFTY 26800 CE,2026-01-06T15:20:00,2026-01-06T15:25:00,5.0,CE,26800,1,65,166.04,151.69,166.04,STOP_LOSS_HIT,-932.75,72.17,-1004.92,-0.0864,17109.44
NIFTY,NIFTY 26450 PE,2026-01-07T10:00:00,2026-01-07T10:10:00,10.0,PE,26450,1,65,161.97,184.97,195.9,TARGET_HIT,1495.0,76.01,1418.99,0.142,18528.43
NIFTY,NIFTY 26450 PE,2026-01-07T10:15:00,2026-01-07T10:25:00,10.0,PE,26450,1,65,168.5,192.41,206.1,TARGET_HIT,1554.15,77.17,1476.98,0.1419,20005.41
NIFTY,NIFTY 26350 PE,2026-01-07T10:30:00,2026-01-07T10:35:00,5.0,PE,26350,1,65,150.72,137.69,150.72,STOP_LOSS_HIT,-846.95,69.88,-916.83,-0.0865,19088.58
NIFTY,NIFTY 26300 PE,2026-01-07T11:40:00,2026-01-07T11:50:00,10.0,PE,26300,1,65,156.68,157.14,173.22,STOP_LOSS_HIT,29.9,72.46,-42.56,0.0029,19046.02
NIFTY,NIFTY 26350 PE,2026-01-07T11:55:00,2026-01-07T12:00:00,5.0,PE,26350,1,65,153.07,139.83,153.07,STOP_LOSS_HIT,-860.6,70.22,-930.82,-0.0865,18115.2
NIFTY,NIFTY 26300 PE,2026-01-07T13:55:00,2026-01-07T14:05:00,10.0,PE,26300,1,65,144.24,164.72,168.21,TARGET_HIT,1331.2,72.85,1258.35,0.142,19373.55
NIFTY,NIFTY 26250 PE,2026-01-07T14:10:00,2026-01-07T14:15:00,5.0,PE,26250,1,65,159.75,145.94,159.75,STOP_LOSS_HIT,-897.65,71.23,-968.88,-0.0864,18404.67
NIFTY,NIFTY 26250 PE,2026-01-07T14:20:00,2026-01-07T14:25:00,5.0,PE,26250,1,65,148.64,169.74,179.44,TARGET_HIT,1371.5,73.63,1297.87,0.142,19702.54
NIFTY,NIFTY 26150 PE,2026-01-07T14:30:00,2026-01-07T14:35:00,5.0,PE,26150,1,65,147.06,134.35,147.06,STOP_LOSS_HIT,-826.15,69.34,-895.49,-0.0864,18807.05
NIFTY,NIFTY 26150 PE,2026-01-07T14:40:00,2026-01-07T14:45:00,5.0,PE,26150,1,65,160.75,146.85,160.75,STOP_LOSS_HIT,-903.5,71.38,-974.88,-0.0865,17832.17
NIFTY,NIFTY 26300 PE,2026-01-07T14:50:00,2026-01-07T15:00:00,10.0,PE,26300,1,65,169.23,169.72,184.55,STOP_LOSS_HIT,31.85,74.48,-42.63,0.0029,17789.54
NIFTY,NIFTY 25900 PE,2026-01-08T09:20:00,2026-01-08T09:25:00,5.0,PE,25900,1,65,164.57,187.94,203.07,TARGET_HIT,1519.05,76.47,1442.58,0.142,19232.12
NIFTY,NIFTY 25850 PE,2026-01-08T09:30:00,2026-01-08T09:45:00,15.0,PE,25850,1,65,168.16,153.63,172.84,STOP_LOSS_HIT,-944.45,72.49,-1016.94,-0.0864,18215.18
NIFTY,NIFTY 25850 PE,2026-01-08T09:50:00,2026-01-08T10:10:00,20.0,PE,25850,1,65,146.31,167.08,192.19,TARGET_HIT,1350.05,73.24,1276.81,0.142,19491.99
NIFTY,NIFTY 25850 PE,2026-01-08T10:15:00,2026-01-08T10:35:00,20.0,PE,25850,1,65,163.75,149.6,169.36,STOP_LOSS_HIT,-919.75,71.85,-991.6,-0.0864,18500.39
NIFTY,NIFTY 25650 PE,2026-01-08T11:25:00,2026-01-08T11:40:00,15.0,PE,25650,1,65,164.02,164.5,180.89,STOP_LOSS_HIT,31.2,73.63,-42.43,0.0029,18457.96
NIFTY,NIFTY 25650 PE,2026-01-08T11:45:00,2026-01-08T11:55:00,10.0,PE,25650,1,65,167.3,152.84,167.3,STOP_LOSS_HIT,-939.9,72.38,-1012.28,-0.0864,17445.68
NIFTY,NIFTY 25950 CE,2026-01-08T13:35:00,2026-01-08T13:45:00,10.0,CE,25950,1,65,164.62,187.98,193.35,TARGET_HIT,1518.4,76.47,1441.93,0.1419,18887.61
NIFTY,NIFTY 26000 CE,2026-01-08T13:50:00,2026-01-08T14:00:00,10.0,CE,26000,1,65,177.78,178.3,193.05,STOP_LOSS_HIT,33.8,75.86,-42.06,0.0029,18845.55
NIFTY,NIFTY 26050 CE,2026-01-08T14:05:00,2026-01-08T14:15:00,10.0,CE,26050,1,65,169.01,154.4,173.59,STOP_LOSS_HIT,-949.65,72.63,-1022.28,-0.0864,17823.27
NIFTY,NIFTY 26050 CE,2026-01-08T14:20:00,2026-01-08T14:25:00,5.0,CE,26050,1,65,164.41,150.2,164.41,STOP_LOSS_HIT,-923.65,71.93,-995.58,-0.0864,16827.69
NIFTY,NIFTY 25750 PE,2026-01-09T09:20:00,2026-01-09T09:25:00,5.0,PE,25750,1,65,154.21,140.88,154.21,STOP_LOSS_HIT,-866.45,70.41,-936.86,-0.0864,15890.83
NIFTY,NIFTY 25850 PE,2026-01-09T09:30:00,2026-01-09T09:50:00,20.0,PE,25850,1,65,143.69,131.26,149.99,STOP_LOSS_HIT,-807.95,68.82,-876.77,-0.0865,15014.06
NIFTY,NIFTY 25950 CE,2026-01-09T10:20:00,2026-01-09T10:25:00,5.0,CE,25950,1,65,180.56,164.96,180.56,STOP_LOSS_HIT,-1014.0,74.35,-1088.35,-0.0864,13925.71
NIFTY,NIFTY 25900 CE,2026-01-09T10:30:00,2026-01-09T10:35:00,5.0,CE,25900,1,65,180.8,165.18,180.8,STOP_LOSS_HIT,-1015.3,74.4,-1089.7,-0.0864,12836.01
NIFTY,NIFTY 25900 CE,2026-01-09T10:50:00,2026-01-09T10:55:00,5.0,CE,25900,1,65,168.24,192.13,222.05,TARGET_HIT,1552.85,77.12,1475.73,0.142,14311.74
NIFTY,NIFTY 26000 CE,2026-01-09T11:00:00,2026-01-09T11:05:00,5.0,CE,26000,1,65,161.57,147.6,161.57,STOP_LOSS_HIT,-908.05,71.51,-979.56,-0.0865,13332.18
NIFTY,NIFTY 25900 CE,2026-01-09T11:15:00,2026-01-09T11:20:00,5.0,CE,25900,1,65,178.31,203.62,234.46,TARGET_HIT,1645.15,78.91,1566.24,0.1419,14898.42
NIFTY,NIFTY 26050 CE,2026-01-09T11:25:00,2026-01-09T11:30:00,5.0,CE,26050,1,65,177.43,162.1,177.43,STOP_LOSS_HIT,-996.45,73.9,-1070.35,-0.0864,13828.07
NIFTY,NIFTY 26050 CE,2026-01-09T11:35:00,2026-01-09T11:40:00,5.0,CE,26050,1,65,169.16,154.54,169.16,STOP_LOSS_HIT,-950.3,72.66,-1022.96,-0.0864,12805.11
NIFTY,NIFTY 26000 CE,2026-01-09T11:50:00,2026-01-09T12:00:00,10.0,CE,26000,1,65,162.92,186.05,199.91,TARGET_HIT,1503.45,76.17,1427.28,0.142,14232.39
NIFTY,NIFTY 26100 CE,2026-01-09T12:05:00,2026-01-09T12:15:00,10.0,CE,26100,1,65,168.15,168.64,183.14,STOP_LOSS_HIT,31.85,74.3,-42.45,0.0029,14189.94
NIFTY,NIFTY 26100 CE,2026-01-09T12:20:00,2026-01-09T12:25:00,5.0,CE,26100,1,65,163.38,186.57,212.02,TARGET_HIT,1507.35,76.26,1431.09,0.1419,15621.03
NIFTY,NIFTY 26250 CE,2026-01-09T12:30:00,2026-01-09T12:35:00,5.0,CE,26250,1,65,163.47,149.34,163.47,STOP_LOSS_HIT,-918.45,71.79,-990.24,-0.0864,14630.79
NIFTY,NIFTY 26200 CE,2026-01-09T12:40:00,2026-01-09T12:50:00,10.0,CE,26200,1,65,184.09,210.22,252.72,TARGET_HIT,1698.45,79.94,1618.51,0.1419,16249.3
NIFTY,NIFTY 26300 CE,2026-01-09T12:55:00,2026-01-09T13:10:00,15.0,CE,26300,1,65,186.42,170.31,196.95,STOP_LOSS_HIT,-1047.15,75.24,-1122.39,-0.0864,15126.91
NIFTY,NIFTY 26250 CE,2026-01-09T13:15:00,2026-01-09T13:20:00,5.0,CE,26250,1,65,174.56,199.33,211.61,TARGET_HIT,1610.05,78.24,1531.81,0.1419,16658.72
NIFTY,NIFTY 26300 CE,2026-01-09T13:25:00,2026-01-09T13:30:00,5.0,CE,26300,1,65,187.52,171.31,187.52,STOP_LOSS_HIT,-1053.65,75.41,-1129.06,-0.0864,15529.66
NIFTY,NIFTY 26650 CE,2026-01-12T13:00:00,2026-01-12T13:10:00,10.0,CE,26650,1,65,185.1,211.37,274.1,TARGET_HIT,1707.55,80.12,1627.43,0.1419,17157.09
NIFTY,NIFTY 26850 CE,2026-01-12T13:15:00,2026-01-12T13:30:00,15.0,CE,26850,1,65,186.07,186.61,205.17,STOP_LOSS_HIT,35.1,77.18,-42.08,0.0029,17115.01
NIFTY,NIFTY 26800 CE,2026-01-12T13:35:00,2026-01-12T13:40:00,5.0,CE,26800,1,65,174.29,159.23,174.29,STOP_LOSS_HIT,-978.9,73.42,-1052.32,-0.0864,16062.69
NIFTY,NIFTY 26750 CE,2026-01-12T13:45:00,2026-01-12T13:55:00,10.0,CE,26750,1,65,184.24,210.4,240.51,TARGET_HIT,1700.4,79.97,1620.43,0.142,17683.12
NIFTY,NIFTY 26750 CE,2026-01-13T10:00:00,2026-01-13T10:05:00,5.0,CE,26750,1,65,176.06,201.05,210.21,TARGET_HIT,1624.35,78.51,1545.84,0.1419,19228.96
NIFTY,NIFTY 26800 CE,2026-01-13T10:10:00,2026-01-13T10:20:00,10.0,CE,26800,1,65,174.94,159.81,174.94,STOP_LOSS_HIT,-983.45,73.51,-1056.96,-0.0865,18172.0
NIFTY,NIFTY 26750 CE,2026-01-13T10:25:00,2026-01-13T10:40:00,15.0,CE,26750,1,65,172.62,181.7,195.8,STOP_LOSS_HIT,590.2,76.05,514.15,0.0526,18686.15
NIFTY,NIFTY 26750 CE,2026-01-13T10:45:00,2026-01-13T11:00:00,15.0,CE,26750,1,65,179.53,164.01,179.53,STOP_LOSS_HIT,-1008.8,74.21,-1083.01,-0.0864,17603.14
NIFTY,NIFTY 26550 PE,2026-01-13T13:25:00,2026-01-13T13:50:00,25.0,PE,26550,1,65,171.85,196.25,251.29,TARGET_HIT,1586.0,77.77,1508.23,0.142,19111.37
NIFTY,NIFTY 26350 PE,2026-01-13T13:55:00,2026-01-13T14:00:00,5.0,PE,26350,1,65,151.16,138.1,151.16,STOP_LOSS_HIT,-848.9,69.93,-918.83,-0.0864,18192.54
NIFTY,NIFTY 26450 PE,2026-01-13T14:05:00,2026-01-13T14:10:00,5.0,PE,26450,1,65,167.99,191.84,251.4,TARGET_HIT,1550.25,77.08,1473.17,0.142,19665.71
NIFTY,NIFTY 26350 PE,2026-01-13T14:15:00,2026-01-13T14:30:00,15.0,PE,26350,1,65,165.97,174.7,189.45,STOP_LOSS_HIT,567.45,74.93,492.52,0.0526,20158.23
NIFTY,NIFTY 26350 PE,2026-01-13T14:35:00,2026-01-13T14:40:00,5.0,PE,26350,1,65,150.05,137.08,150.05,STOP_LOSS_HIT,-843.05,69.78,-912.83,-0.0864,19245.4
NIFTY,NIFTY 26800 CE,2026-01-14T09:35:00,2026-01-14T09:45:00,10.0,CE,26800,1,65,185.3,169.29,185.3,STOP_LOSS_HIT,-1040.65,75.07,-1115.72,-0.0864,18129.68
NIFTY,NIFTY 26850 CE,2026-01-14T09:50:00,2026-01-14T09:55:00,5.0,CE,26850,1,65,170.49,155.75,170.49,STOP_LOSS_HIT,-958.1,72.84,-1030.94,-0.0865,17098.74
NIFTY,NIFTY 26850 CE,2026-01-14T10:00:00,2026-01-14T10:10:00,10.0,CE,26850,1,65,169.0,154.39,169.0,STOP_LOSS_HIT,-949.65,72.63,-1022.28,-0.0864,16076.46
NIFTY,NIFTY 26700 CE,2026-01-14T10:15:00,2026-01-14T10:30:00,15.0,CE,26700,1,65,187.1,170.93,194.22,STOP_LOSS_HIT,-1051.05,75.34,-1126.39,-0.0864,14950.07
NIFTY,NIFTY 26800 CE,2026-01-14T11:55:00,2026-01-14T12:05:00,10.0,CE,26800,1,65,178.28,203.58,256.81,TARGET_HIT,1644.5,78.9,1565.6,0.1419,16515.67
NIFTY,NIFTY 26950 CE,2026-01-14T12:10:00,2026-01-14T12:15:00,5.0,CE,26950,1,65,165.22,150.94,165.22,STOP_LOSS_HIT,-928.2,72.05,-1000.25,-0.0864,15515.42
NIFTY,NIFTY 26800 CE,2026-01-14T12:20:00,2026-01-14T12:30:00,10.0,CE,26800,1,65,178.63,203.98,248.82,TARGET_HIT,1647.75,78.96,1568.79,0.1419,17084.21
NIFTY,NIFTY 26900 CE,2026-01-14T12:35:00,2026-01-14T12:45:00,10.0,CE,26900,1,65,182.97,167.15,182.97,STOP_LOSS_HIT,-1028.3,74.72,-1103.02,-0.0865,15981.19
NIFTY,NIFTY 26900 CE,2026-01-14T12:50:00,2026-01-14T13:00:00,10.0,CE,26900,1,65,179.34,204.8,210.78,TARGET_HIT,1654.9,79.09,1575.81,0.142,17557.0
NIFTY,NIFTY 26900 CE,2026-01-14T13:05:00,2026-01-14T13:10:00,5.0,CE,26900,1,65,171.03,156.25,171.03,STOP_LOSS_HIT,-960.7,72.93,-1033.63,-0.0864,16523.37
NIFTY,NIFTY 26800 PE,2026-01-14T15:25:00,2026-01-15T09:15:00,1070.0,PE,26800,1,65,162.72,148.65,162.72,STOP_LOSS_HIT,-914.55,71.68,-986.23,-0.0865,15537.14
NIFTY,NIFTY 26900 PE,2026-01-15T09:25:00,2026-01-15T09:30:00,5.0,PE,26900,1,65,159.32,145.54,159.32,STOP_LOSS_HIT,-895.7,71.18,-966.88,-0.0865,14570.26
NIFTY,NIFTY 26900 CE,2026-01-15T09:35:00,2026-01-15T09:50:00,15.0,CE,26900,1,65,172.52,173.03,186.45,STOP_LOSS_HIT,33.15,75.0,-41.85,0.003,14528.41
NIFTY,NIFTY 26850 CE,2026-01-15T09:55:00,2026-01-15T10:00:00,5.0,CE,26850,1,65,172.83,157.89,172.83,STOP_LOSS_HIT,-971.1,73.21,-1044.31,-0.0864,13484.1
NIFTY,NIFTY 27100 CE,2026-01-15T12:25:00,2026-01-15T12:30:00,5.0,CE,27100,1,65,186.56,170.44,186.56,STOP_LOSS_HIT,-1047.8,75.26,-1123.06,-0.0864,12361.04
NIFTY,NIFTY 27000 CE,2026-01-15T12:35:00,2026-01-15T12:40:00,5.0,CE,27000,1,65,182.17,166.43,182.17,STOP_LOSS_HIT,-1023.1,74.6,-1097.7,-0.0864,11263.34
NIFTY,NIFTY 27200 CE,2026-01-15T14:10:00,2026-01-15T14:15:00,5.0,CE,27200,1,65,175.56,200.48,207.2,TARGET_HIT,1619.8,78.41,1541.39,0.1419,12804.73
NIFTY,NIFTY 27200 CE,2026-01-15T14:20:00,2026-01-15T14:25:00,5.0,CE,27200,1,65,180.31,205.91,221.65,TARGET_HIT,1664.0,79.28,1584.72,0.142,14389.45
NIFTY,NIFTY 27200 CE,2026-01-15T14:30:00,2026-01-15T14:40:00,10.0,CE,27200,1,65,180.84,206.51,229.87,TARGET_HIT,1668.55,79.36,1589.19,0.1419,15978.64
NIFTY,NIFTY 27200 CE,2026-01-15T14:45:00,2026-01-15T15:05:00,20.0,CE,27200,1,65,186.33,170.22,201.09,STOP_LOSS_HIT,-1047.15,75.22,-1122.37,-0.0865,14856.27
NIFTY,NIFTY 27300 CE,2026-01-16T09:50:00,2026-01-16T10:00:00,10.0,CE,27300,1,65,180.11,180.64,200.02,STOP_LOSS_HIT,34.45,76.22,-41.77,0.0029,14814.5
NIFTY,NIFTY 27350 CE,2026-01-16T10:05:00,2026-01-16T10:15:00,10.0,CE,27350,1,65,184.33,168.39,184.33,STOP_LOSS_HIT,-1036.1,74.93,-1111.03,-0.0865,13703.47
NIFTY,NIFTY 27300 CE,2026-01-16T10:20:00,2026-01-16T10:25:00,5.0,CE,27300,1,65,165.72,151.39,165.72,STOP_LOSS_HIT,-931.45,72.13,-1003.58,-0.0865,12699.89
NIFTY,NIFTY 27350 CE,2026-01-16T12:50:00,2026-01-16T13:00:00,10.0,CE,27350,1,65,178.68,179.21,195.33,STOP_LOSS_HIT,34.45,76.0,-41.55,0.003,12658.34
NIFTY,NIFTY 27250 PE,2026-01-16T14:15:00,2026-01-16T14:25:00,10.0,PE,27250,1,65,161.25,161.72,175.38,STOP_LOSS_HIT,30.55,73.18,-42.63,0.0029,12615.71
NIFTY,NIFTY 27300 PE,2026-01-16T14:30:00,2026-01-16T14:35:00,5.0,PE,27300,1,65,163.22,149.11,163.22,STOP_LOSS_HIT,-917.15,71.76,-988.91,-0.0864,11626.8
NIFTY,NIFTY 27400 CE,2026-01-16T14:40:00,2026-01-16T14:50:00,10.0,CE,27400,1,65,166.17,151.81,166.17,STOP_LOSS_HIT,-933.4,72.19,-1005.59,-0.0864,10621.21
NIFTY,NIFTY 27350 CE,2026-01-16T14:55:00,2026-01-16T15:00:00,5.0,CE,27350,1,65,176.28,161.04,176.28,STOP_LOSS_HIT,-990.6,73.71,-1064.31,-0.0865,9556.9
NIFTY,NIFTY 27150 PE,2026-01-16T15:15:00,2026-01-16T15:25:00,10.0,PE,27150,1,65,149.98,150.42,163.99,STOP_LOSS_HIT,28.6,71.37,-42.77,0.0029,9514.13
NIFTY,NIFTY 27150 PE,2026-01-19T09:35:00,2026-01-19T09:50:00,15.0,PE,27150,1,65,173.24,197.84,208.35,TARGET_HIT,1599.0,78.01,1520.99,0.142,11035.12
